+-------+------------+---------------------+
| id    | time       | number              |
+-------+------------+---------------------+
| 1.1.1 | 2024-07-01 |                 421 |
| 1.1.1 | 2024-08-01 |                 173 |
| 1.1.1 | 2024-09-01 |                 173 |
| 1.1.1 | 2024-10-01 |                 265 |
| 1.1.1 | 2024-11-01 |                 296 |
| 1.1.1 | 2024-12-01 |                 296 |
| 1.1.1 | 2025-01-01 |                 306 |
| 1.1.1 | 2025-02-01 |                 306 |
| 1.1.1 | 2025-03-01 |                 321 |
| 1.1.1 | 2025-04-01 |                 321 |
| 1.1.1 | 2025-05-01 |                 321 |
| 1.1.1 | 2025-06-01 |                 322 |
| 1.1.1 | 2025-07-01 |                 322 |
| 1.1.1 | 2025-08-01 |                 322 |
| 1.1.1 | 2025-09-01 |                 344 |
| 1.1.1 | 2025-10-01 |                 344 |
| 1.1.1 | 2025-11-01 |                 370 |
| 1.1.2 | 2024-07-01 |                   1 |
| 1.1.2 | 2024-08-01 |                   0 |
| 1.1.2 | 2024-09-01 |                   0 |
| 1.1.2 | 2024-10-01 |                   0 |
| 1.1.2 | 2024-11-01 |                   0 |
| 1.1.2 | 2024-12-01 |                   0 |
| 1.1.2 | 2025-01-01 |                   0 |
| 1.1.2 | 2025-02-01 |                   0 |
| 1.1.2 | 2025-03-01 |                   0 |
| 1.1.2 | 2025-04-01 |                   0 |
| 1.1.2 | 2025-05-01 |                   0 |
| 1.1.2 | 2025-06-01 |                   0 |
| 1.1.2 | 2025-07-01 |                   0 |
| 1.1.2 | 2025-08-01 |                   0 |
| 1.1.2 | 2025-09-01 |                   0 |
| 1.1.2 | 2025-10-01 |                   0 |
| 1.1.2 | 2025-11-01 |                   0 |
| 1.1.3 | 2024-07-01 |                 117 |
| 1.1.3 | 2024-08-01 |                  34 |
| 1.1.3 | 2024-09-01 |                  34 |
| 1.1.3 | 2024-10-01 |                  62 |
| 1.1.3 | 2024-11-01 |                  64 |
| 1.1.3 | 2024-12-01 |                  64 |
| 1.1.3 | 2025-01-01 |                  66 |
| 1.1.3 | 2025-02-01 |                  66 |
| 1.1.3 | 2025-03-01 |                  67 |
| 1.1.3 | 2025-04-01 |                  67 |
| 1.1.3 | 2025-05-01 |                  67 |
| 1.1.3 | 2025-06-01 |                  68 |
| 1.1.3 | 2025-07-01 |                  68 |
| 1.1.3 | 2025-08-01 |                  68 |
| 1.1.3 | 2025-09-01 |                  71 |
| 1.1.3 | 2025-10-01 |                  71 |
| 1.1.3 | 2025-11-01 |                  71 |
| 1.1.4 | 2024-07-01 |                 5.1 |
| 1.1.4 | 2024-08-01 |                 6.9 |
| 1.1.4 | 2024-09-01 |                 6.9 |
| 1.1.4 | 2024-10-01 |                35.4 |
| 1.1.4 | 2024-11-01 |                34.8 |
| 1.1.4 | 2024-12-01 |                34.7 |
| 1.1.4 | 2025-01-01 |                32.5 |
| 1.1.4 | 2025-02-01 |                32.5 |
| 1.1.4 | 2025-03-01 |                31.7 |
| 1.1.4 | 2025-04-01 |                31.3 |
| 1.1.4 | 2025-05-01 |                31.3 |
| 1.1.4 | 2025-06-01 |                31.3 |
| 1.1.4 | 2025-07-01 |                31.3 |
| 1.1.4 | 2025-08-01 |                31.2 |
| 1.1.4 | 2025-09-01 |                  29 |
| 1.1.4 | 2025-10-01 |                  29 |
| 1.1.4 | 2025-11-01 |                27.9 |
| 1.2.1 | 2024-07-01 |                 226 |
| 1.2.1 | 2024-08-01 |                 170 |
| 1.2.1 | 2024-09-01 |                 170 |
| 1.2.1 | 2024-10-01 |                 254 |
| 1.2.1 | 2024-11-01 |                 269 |
| 1.2.1 | 2024-12-01 |                 270 |
| 1.2.1 | 2025-01-01 |                 289 |
| 1.2.1 | 2025-02-01 |                 289 |
| 1.2.1 | 2025-03-01 |                 295 |
| 1.2.1 | 2025-04-01 |                 297 |
| 1.2.1 | 2025-05-01 |                 297 |
| 1.2.1 | 2025-06-01 |                 298 |
| 1.2.1 | 2025-07-01 |                 298 |
| 1.2.1 | 2025-08-01 |                 298 |
| 1.2.1 | 2025-09-01 |                 318 |
| 1.2.1 | 2025-10-01 |                 318 |
| 1.2.1 | 2025-11-01 |                 325 |
| 1.2.2 | 2024-07-01 |                 342 |
| 1.2.2 | 2024-08-01 |                 271 |
| 1.2.2 | 2024-09-01 |                 271 |
| 1.2.2 | 2024-10-01 |                 377 |
| 1.2.2 | 2024-11-01 |                 405 |
| 1.2.2 | 2024-12-01 |                 406 |
| 1.2.2 | 2025-01-01 |                 422 |
| 1.2.2 | 2025-02-01 |                 422 |
| 1.2.2 | 2025-03-01 |                 435 |
| 1.2.2 | 2025-04-01 |                 439 |
| 1.2.2 | 2025-05-01 |                 439 |
| 1.2.2 | 2025-06-01 |                 438 |
| 1.2.2 | 2025-07-01 |                 438 |
| 1.2.2 | 2025-08-01 |                 438 |
| 1.2.2 | 2025-09-01 |                 461 |
| 1.2.2 | 2025-10-01 |                 461 |
| 1.2.2 | 2025-11-01 |                 487 |
| 1.2.4 | 2024-07-01 |                 5.3 |
| 1.2.4 | 2024-08-01 |                 5.1 |
| 1.2.4 | 2024-09-01 |                 5.1 |
| 1.2.4 | 2024-10-01 |                 5.2 |
| 1.2.4 | 2024-11-01 |                   4 |
| 1.2.4 | 2024-12-01 |                   4 |
| 1.2.4 | 2025-01-01 |                 4.4 |
| 1.2.4 | 2025-02-01 |                 4.4 |
| 1.2.4 | 2025-03-01 |                 4.4 |
| 1.2.4 | 2025-04-01 |                 4.4 |
| 1.2.4 | 2025-05-01 |                 4.4 |
| 1.2.4 | 2025-06-01 |                 4.3 |
| 1.2.4 | 2025-07-01 |                 4.3 |
| 1.2.4 | 2025-08-01 |                 4.6 |
| 1.2.4 | 2025-09-01 |                 5.6 |
| 1.2.4 | 2025-10-01 |                 5.6 |
| 1.2.4 | 2025-11-01 |                   7 |
| 1.3.3 | 2024-08-01 |                  97 |
| 1.3.3 | 2024-09-01 |                  91 |
| 1.3.3 | 2024-10-01 |                  46 |
| 1.3.3 | 2024-11-01 |                  47 |
| 1.3.3 | 2024-12-01 |                  75 |
| 1.3.3 | 2025-01-01 |                  44 |
| 1.3.3 | 2025-02-01 |                  17 |
| 1.3.3 | 2025-03-01 |                  31 |
| 1.3.3 | 2025-04-01 |                  17 |
| 1.3.3 | 2025-05-01 |                  24 |
| 1.3.3 | 2025-06-01 |                   3 |
| 1.3.3 | 2025-07-01 |                   8 |
| 1.3.3 | 2025-08-01 |                  22 |
| 1.3.3 | 2025-09-01 |                  29 |
| 1.3.3 | 2025-10-01 |                  12 |
| 2.1.1 | 2024-06-01 |                  17 |
| 2.1.1 | 2024-07-01 |                  52 |
| 2.1.1 | 2024-08-01 |                  57 |
| 2.1.1 | 2024-09-01 |                  64 |
| 2.1.1 | 2024-10-01 |                  30 |
| 2.1.1 | 2024-11-01 |                  38 |
| 2.1.1 | 2024-12-01 |                  64 |
| 2.1.1 | 2025-01-01 |                  35 |
| 2.1.1 | 2025-02-01 |                   8 |
| 2.1.1 | 2025-03-01 |                  21 |
| 2.1.1 | 2025-04-01 |                  11 |
| 2.1.1 | 2025-05-01 |                  19 |
| 2.1.1 | 2025-06-01 |                   1 |
| 2.1.1 | 2025-07-01 |                   5 |
| 2.1.1 | 2025-08-01 |                  17 |
| 2.1.1 | 2025-09-01 |                  21 |
| 2.1.1 | 2025-10-01 |                  12 |
| 2.1.2 | 2024-06-01 |   0.672294817075638 |
| 2.1.2 | 2024-07-01 |  0.4566836315394428 |
| 2.1.2 | 2024-08-01 |  0.7705351118748615 |
| 2.1.2 | 2024-09-01 |  0.6395702139114332 |
| 2.1.2 | 2024-10-01 | 0.31374592183069844 |
| 2.1.2 | 2024-11-01 |  0.9819407868640977 |
| 2.1.2 | 2024-12-01 |  0.9992954443621547 |
