+-------+------------+---------------------+
| id    | time       | number              |
+-------+------------+---------------------+
| 1.1.1 | 2025-05-01 |               43690 |
| 1.1.1 | 2025-06-01 |               46778 |
| 1.1.1 | 2025-07-01 |               47058 |
| 1.1.1 | 2025-08-01 |               47947 |
| 1.1.1 | 2025-09-01 |               48023 |
| 1.1.1 | 2025-10-01 |               49873 |
| 1.1.1 | 2025-11-01 |               49913 |
| 1.1.2 | 2025-05-01 |                 135 |
| 1.1.2 | 2025-06-01 |                 146 |
| 1.1.2 | 2025-07-01 |                 145 |
| 1.1.2 | 2025-08-01 |                 150 |
| 1.1.2 | 2025-09-01 |                 149 |
| 1.1.2 | 2025-10-01 |                 156 |
| 1.1.2 | 2025-11-01 |                 155 |
| 1.1.3 | 2025-05-01 |                9684 |
| 1.1.3 | 2025-06-01 |               10355 |
| 1.1.3 | 2025-07-01 |               10461 |
| 1.1.3 | 2025-08-01 |               10630 |
| 1.1.3 | 2025-09-01 |               10645 |
| 1.1.3 | 2025-10-01 |               11077 |
| 1.1.3 | 2025-11-01 |               11100 |
| 1.1.4 | 2025-05-01 |                60.9 |
| 1.1.4 | 2025-06-01 |                61.2 |
| 1.1.4 | 2025-07-01 |                  61 |
| 1.1.4 | 2025-08-01 |                60.7 |
| 1.1.4 | 2025-09-01 |                60.7 |
| 1.1.4 | 2025-10-01 |                60.6 |
| 1.1.4 | 2025-11-01 |                60.4 |
| 1.2.1 | 2025-05-01 |               16258 |
| 1.2.1 | 2025-06-01 |               17489 |
| 1.2.1 | 2025-07-01 |               17582 |
| 1.2.1 | 2025-08-01 |               17984 |
| 1.2.1 | 2025-09-01 |               17965 |
| 1.2.1 | 2025-10-01 |               18613 |
| 1.2.1 | 2025-11-01 |               18655 |
| 1.2.2 | 2025-05-01 |               20061 |
| 1.2.2 | 2025-06-01 |               21825 |
| 1.2.2 | 2025-07-01 |               21957 |
| 1.2.2 | 2025-08-01 |               22502 |
| 1.2.2 | 2025-09-01 |               22502 |
| 1.2.2 | 2025-10-01 |               23419 |
| 1.2.2 | 2025-11-01 |               23471 |
| 1.2.4 | 2025-05-01 |                   8 |
| 1.2.4 | 2025-06-01 |                   8 |
| 1.2.4 | 2025-07-01 |                 7.9 |
| 1.2.4 | 2025-08-01 |                 7.9 |
| 1.2.4 | 2025-09-01 |                   8 |
| 1.2.4 | 2025-10-01 |                   8 |
| 1.2.4 | 2025-11-01 |                   8 |
| 1.3.3 | 2025-06-01 |                 340 |
| 1.3.3 | 2025-07-01 |                 200 |
| 1.3.3 | 2025-08-01 |                 292 |
| 1.3.3 | 2025-09-01 |                 331 |
| 1.3.3 | 2025-10-01 |                  87 |
| 2.1.1 | 2025-04-01 |                  18 |
| 2.1.1 | 2025-05-01 |                 394 |
| 2.1.1 | 2025-06-01 |                 262 |
| 2.1.1 | 2025-07-01 |                 146 |
| 2.1.1 | 2025-08-01 |                 223 |
| 2.1.1 | 2025-09-01 |                 266 |
| 2.1.1 | 2025-10-01 |                  87 |
| 2.1.2 | 2025-04-01 |  0.3095434291503252 |
| 2.1.2 | 2025-05-01 |  0.9946216356259527 |
| 2.1.2 | 2025-06-01 |   0.969579328449557 |
| 2.1.2 | 2025-07-01 |  0.7492452992873226 |
| 2.1.2 | 2025-08-01 |  0.9998694459264539 |
| 2.1.2 | 2025-09-01 |  0.6361646145405294 |
| 2.1.2 | 2025-10-01 |  0.6638500787010991 |
| 2.1.3 | 2025-05-01 |                   0 |
| 2.1.3 | 2025-06-01 |                   0 |
| 2.1.3 | 2025-07-01 | 0.13303964861069895 |
| 2.1.3 | 2025-08-01 |                   0 |
| 2.1.3 | 2025-09-01 |                   0 |
| 2.1.4 | 2025-05-01 |                  59 |
| 2.1.4 | 2025-06-01 |                  78 |
| 2.1.4 | 2025-07-01 |                  54 |
| 2.1.4 | 2025-08-01 |                  69 |
| 2.1.4 | 2025-09-01 |                  65 |
| 2.2.2 | 2025-08-01 |  0.5976470588235294 |
| 2.2.2 | 2025-09-01 |  0.6533018867924528 |
| 2.2.2 | 2025-10-01 |  0.6592039800995025 |
| 2.3.1 | 2025-08-01 |                 148 |
| 2.3.1 | 2025-09-01 |                 151 |
| 2.3.1 | 2025-10-01 |                 136 |
| 3.2.1 | 2025-05-01 |                   0 |
| 3.2.1 | 2025-06-01 |                   0 |
| 3.2.1 | 2025-07-01 |                   0 |
| 3.2.1 | 2025-08-01 |                   0 |
| 3.2.1 | 2025-09-01 |                   0 |
+-------+------------+---------------------+
