+-------+------------+---------------------+
| id    | time       | number              |
+-------+------------+---------------------+
| 1.1.1 | 2025-02-01 |                   0 |
| 1.1.1 | 2025-03-01 |                   0 |
| 1.1.1 | 2025-04-01 |                   5 |
| 1.1.1 | 2025-05-01 |                  15 |
| 1.1.1 | 2025-06-01 |                  35 |
| 1.1.1 | 2025-07-01 |                  30 |
| 1.1.1 | 2025-08-01 |                  35 |
| 1.1.1 | 2025-09-01 |                  80 |
| 1.1.1 | 2025-10-01 |                 196 |
| 1.1.1 | 2025-11-01 |                 226 |
| 1.1.2 | 2025-02-01 |                   0 |
| 1.1.2 | 2025-03-01 |                   0 |
| 1.1.2 | 2025-04-01 |                   0 |
| 1.1.2 | 2025-05-01 |                   1 |
| 1.1.2 | 2025-06-01 |                   1 |
| 1.1.2 | 2025-07-01 |                   1 |
| 1.1.2 | 2025-08-01 |                   1 |
| 1.1.2 | 2025-09-01 |                   2 |
| 1.1.2 | 2025-10-01 |                   2 |
| 1.1.2 | 2025-11-01 |                   2 |
| 1.1.3 | 2025-02-01 |                   0 |
| 1.1.3 | 2025-03-01 |                   0 |
| 1.1.3 | 2025-04-01 |                   1 |
| 1.1.3 | 2025-05-01 |                   3 |
| 1.1.3 | 2025-06-01 |                   7 |
| 1.1.3 | 2025-07-01 |                   6 |
| 1.1.3 | 2025-08-01 |                   7 |
| 1.1.3 | 2025-09-01 |                  16 |
| 1.1.3 | 2025-10-01 |                  25 |
| 1.1.3 | 2025-11-01 |                  39 |
| 1.1.4 | 2025-04-01 |                   0 |
| 1.1.4 | 2025-05-01 |                   0 |
| 1.1.4 | 2025-06-01 |                   0 |
| 1.1.4 | 2025-07-01 |                   0 |
| 1.1.4 | 2025-08-01 |                   0 |
| 1.1.4 | 2025-09-01 |                  12 |
| 1.1.4 | 2025-10-01 |                 6.8 |
| 1.1.4 | 2025-11-01 |                 6.6 |
| 1.2.1 | 2025-04-01 |                   9 |
| 1.2.1 | 2025-05-01 |                  37 |
| 1.2.1 | 2025-06-01 |                  47 |
| 1.2.1 | 2025-07-01 |                  58 |
| 1.2.1 | 2025-08-01 |                  58 |
| 1.2.1 | 2025-09-01 |                  95 |
| 1.2.1 | 2025-10-01 |                 199 |
| 1.2.1 | 2025-11-01 |                 203 |
| 1.2.2 | 2025-04-01 |                   3 |
| 1.2.2 | 2025-05-01 |                  30 |
| 1.2.2 | 2025-06-01 |                  39 |
| 1.2.2 | 2025-07-01 |                  44 |
| 1.2.2 | 2025-08-01 |                  46 |
| 1.2.2 | 2025-09-01 |                  99 |
| 1.2.2 | 2025-10-01 |                 171 |
| 1.2.2 | 2025-11-01 |                 176 |
| 1.2.4 | 2025-04-01 |                15.9 |
| 1.2.4 | 2025-05-01 |                  10 |
| 1.2.4 | 2025-06-01 |                 8.2 |
| 1.2.4 | 2025-07-01 |                  10 |
| 1.2.4 | 2025-08-01 |                 9.8 |
| 1.2.4 | 2025-09-01 |                 8.2 |
| 1.2.4 | 2025-10-01 |                10.7 |
| 1.2.4 | 2025-11-01 |                11.3 |
| 1.3.3 | 2025-03-01 |                  14 |
| 1.3.3 | 2025-04-01 |                  21 |
| 1.3.3 | 2025-05-01 |                  28 |
| 1.3.3 | 2025-06-01 |                  29 |
| 1.3.3 | 2025-07-01 |                  12 |
| 1.3.3 | 2025-08-01 |                  13 |
| 1.3.3 | 2025-09-01 |                  33 |
| 1.3.3 | 2025-10-01 |                  22 |
| 2.1.1 | 2025-01-01 |                   1 |
| 2.1.1 | 2025-02-01 |                   2 |
| 2.1.1 | 2025-03-01 |                  13 |
| 2.1.1 | 2025-04-01 |                  19 |
| 2.1.1 | 2025-05-01 |                  24 |
| 2.1.1 | 2025-06-01 |                  26 |
| 2.1.1 | 2025-07-01 |                  10 |
| 2.1.1 | 2025-08-01 |                  13 |
| 2.1.1 | 2025-09-01 |                  30 |
| 2.1.1 | 2025-10-01 |                  22 |
| 2.1.2 | 2025-01-01 |                   0 |
| 2.1.2 | 2025-02-01 |                   0 |
| 2.1.2 | 2025-03-01 | 0.39124356362925566 |
| 2.1.2 | 2025-04-01 |  0.8997437586982626 |
| 2.1.2 | 2025-05-01 |  0.9798687566511527 |
| 2.1.2 | 2025-06-01 |  0.9305861291319929 |
| 2.1.2 | 2025-07-01 |  0.8812908992306927 |
| 2.1.2 | 2025-08-01 |  0.9957274520849257 |
| 2.1.2 | 2025-09-01 |  0.8366407419411673 |
| 2.1.2 | 2025-10-01 |  0.5746356978376794 |
| 2.1.3 | 2025-01-01 |                   0 |
| 2.1.3 | 2025-03-01 |                   0 |
| 2.1.3 | 2025-04-01 |                   1 |
| 2.1.3 | 2025-05-01 |                   0 |
| 2.1.3 | 2025-06-01 |                   0 |
| 2.1.3 | 2025-07-01 |                   0 |
| 2.1.3 | 2025-09-01 |  0.9182958340544896 |
| 2.1.4 | 2025-01-01 |                   1 |
| 2.1.4 | 2025-03-01 |                   1 |
| 2.1.4 | 2025-04-01 |                   2 |
| 2.1.4 | 2025-05-01 |                   4 |
| 2.1.4 | 2025-06-01 |                   3 |
| 2.1.4 | 2025-07-01 |                   2 |
| 2.1.4 | 2025-09-01 |                   3 |
| 2.2.2 | 2025-05-01 |  0.4880952380952381 |
| 2.2.2 | 2025-06-01 |  0.6290322580645161 |
| 2.2.2 | 2025-07-01 |  0.7007874015748031 |
| 2.2.2 | 2025-08-01 |  0.7747747747747747 |
| 2.2.2 | 2025-09-01 |  0.6532258064516129 |
| 2.2.2 | 2025-10-01 |  0.5546218487394958 |
| 2.3.1 | 2025-05-01 |                  25 |
| 2.3.1 | 2025-06-01 |                  32 |
| 2.3.1 | 2025-07-01 |                  34 |
| 2.3.1 | 2025-08-01 |                  39 |
| 2.3.1 | 2025-09-01 |                  47 |
| 2.3.1 | 2025-10-01 |                  52 |
| 3.2.1 | 2025-02-01 |                   0 |
| 3.2.1 | 2025-03-01 |                   0 |
| 3.2.1 | 2025-04-01 |                   0 |
| 3.2.1 | 2025-05-01 |                   0 |
| 3.2.1 | 2025-06-01 |                   0 |
| 3.2.1 | 2025-07-01 |                   0 |
| 3.2.1 | 2025-08-01 |                   0 |
| 3.2.1 | 2025-09-01 |                   1 |
+-------+------------+---------------------+
