+-------+------------+--------------------+
| id    | time       | number             |
+-------+------------+--------------------+
| 1.1.1 | 2024-07-01 |                421 |
| 1.1.1 | 2024-08-01 |                173 |
| 1.1.1 | 2024-09-01 |                173 |
| 1.1.1 | 2024-10-01 |                265 |
| 1.1.1 | 2024-11-01 |                296 |
| 1.1.1 | 2024-12-01 |                296 |
| 1.1.1 | 2025-01-01 |                306 |
| 1.1.1 | 2025-02-01 |                306 |
| 1.1.1 | 2025-03-01 |                321 |
| 1.1.1 | 2025-04-01 |                326 |
| 1.1.1 | 2025-05-01 |              44026 |
| 1.1.1 | 2025-06-01 |              47135 |
| 1.1.1 | 2025-07-01 |              47410 |
| 1.1.1 | 2025-08-01 |              48304 |
| 1.1.1 | 2025-09-01 |              48447 |
| 1.1.1 | 2025-10-01 |              50413 |
| 1.1.1 | 2025-11-01 |              50509 |
| 1.1.2 | 2024-07-01 |                  1 |
| 1.1.2 | 2024-08-01 |                  0 |
| 1.1.2 | 2024-09-01 |                  0 |
| 1.1.2 | 2024-10-01 |                  0 |
| 1.1.2 | 2024-11-01 |                  0 |
| 1.1.2 | 2024-12-01 |                  0 |
| 1.1.2 | 2025-01-01 |                  0 |
| 1.1.2 | 2025-02-01 |                  0 |
| 1.1.2 | 2025-03-01 |                  0 |
| 1.1.2 | 2025-04-01 |                  0 |
| 1.1.2 | 2025-05-01 |                136 |
| 1.1.2 | 2025-06-01 |                147 |
| 1.1.2 | 2025-07-01 |                146 |
| 1.1.2 | 2025-08-01 |                151 |
| 1.1.2 | 2025-09-01 |                151 |
| 1.1.2 | 2025-10-01 |                158 |
| 1.1.2 | 2025-11-01 |                157 |
| 1.1.3 | 2024-07-01 |                117 |
| 1.1.3 | 2024-08-01 |                 34 |
| 1.1.3 | 2024-09-01 |                 34 |
| 1.1.3 | 2024-10-01 |                 62 |
| 1.1.3 | 2024-11-01 |                 64 |
| 1.1.3 | 2024-12-01 |                 64 |
| 1.1.3 | 2025-01-01 |                 66 |
| 1.1.3 | 2025-02-01 |                 66 |
| 1.1.3 | 2025-03-01 |                 67 |
| 1.1.3 | 2025-04-01 |                 68 |
| 1.1.3 | 2025-05-01 |               9754 |
| 1.1.3 | 2025-06-01 |              10430 |
| 1.1.3 | 2025-07-01 |              10535 |
| 1.1.3 | 2025-08-01 |              10705 |
| 1.1.3 | 2025-09-01 |              10732 |
| 1.1.3 | 2025-10-01 |              11173 |
| 1.1.3 | 2025-11-01 |              11210 |
| 1.2.1 | 2024-07-01 |                226 |
| 1.2.1 | 2024-08-01 |                170 |
| 1.2.1 | 2024-09-01 |                170 |
| 1.2.1 | 2024-10-01 |                254 |
| 1.2.1 | 2024-11-01 |                269 |
| 1.2.1 | 2024-12-01 |                270 |
| 1.2.1 | 2025-01-01 |                289 |
| 1.2.1 | 2025-02-01 |                289 |
| 1.2.1 | 2025-03-01 |                295 |
| 1.2.1 | 2025-04-01 |                306 |
| 1.2.1 | 2025-05-01 |              16592 |
| 1.2.1 | 2025-06-01 |              17834 |
| 1.2.1 | 2025-07-01 |              17938 |
| 1.2.1 | 2025-08-01 |              18340 |
| 1.2.1 | 2025-09-01 |              18378 |
| 1.2.1 | 2025-10-01 |              19130 |
| 1.2.1 | 2025-11-01 |              19183 |
| 1.2.2 | 2024-07-01 |                342 |
| 1.2.2 | 2024-08-01 |                271 |
| 1.2.2 | 2024-09-01 |                271 |
| 1.2.2 | 2024-10-01 |                377 |
| 1.2.2 | 2024-11-01 |                405 |
| 1.2.2 | 2024-12-01 |                406 |
| 1.2.2 | 2025-01-01 |                422 |
| 1.2.2 | 2025-02-01 |                422 |
| 1.2.2 | 2025-03-01 |                435 |
| 1.2.2 | 2025-04-01 |                442 |
| 1.2.2 | 2025-05-01 |              20530 |
| 1.2.2 | 2025-06-01 |              22302 |
| 1.2.2 | 2025-07-01 |              22439 |
| 1.2.2 | 2025-08-01 |              22986 |
| 1.2.2 | 2025-09-01 |              23062 |
| 1.2.2 | 2025-10-01 |              24051 |
| 1.2.2 | 2025-11-01 |              24134 |
| 1.3.1 | 2024-06-01 |              45327 |
| 1.3.1 | 2024-07-01 |              62445 |
| 1.3.1 | 2024-08-01 |              18678 |
| 1.3.1 | 2024-09-01 |               6404 |
| 1.3.1 | 2024-10-01 |              18244 |
| 1.3.1 | 2024-11-01 |              11415 |
| 1.3.1 | 2024-12-01 |               5456 |
| 1.3.1 | 2025-01-01 |               9602 |
| 1.3.1 | 2025-02-01 |               2136 |
| 1.3.1 | 2025-03-01 |              43553 |
| 1.3.1 | 2025-04-01 |             468118 |
| 1.3.1 | 2025-05-01 |             212936 |
| 1.3.1 | 2025-06-01 |             109419 |
| 1.3.1 | 2025-07-01 |              29833 |
| 1.3.1 | 2025-08-01 |             214001 |
| 1.3.1 | 2025-09-01 |            3125007 |
| 1.3.1 | 2025-10-01 |             323901 |
| 1.3.3 | 2024-06-01 |                 17 |
| 1.3.3 | 2024-07-01 |                 61 |
| 1.3.3 | 2024-08-01 |                 97 |
| 1.3.3 | 2024-09-01 |                 91 |
| 1.3.3 | 2024-10-01 |                 46 |
| 1.3.3 | 2024-11-01 |                 47 |
| 1.3.3 | 2024-12-01 |                 75 |
| 1.3.3 | 2025-01-01 |                 46 |
| 1.3.3 | 2025-02-01 |                 19 |
| 1.3.3 | 2025-03-01 |                 45 |
| 1.3.3 | 2025-04-01 |                 56 |
| 1.3.3 | 2025-05-01 |                505 |
| 1.3.3 | 2025-06-01 |                372 |
| 1.3.3 | 2025-07-01 |                220 |
| 1.3.3 | 2025-08-01 |                327 |
| 1.3.3 | 2025-09-01 |                522 |
| 1.3.3 | 2025-10-01 |                326 |
| 2.1.3 | 2024-06-01 | 1.5739889616503064 |
| 2.1.3 | 2024-07-01 |  2.431048248816463 |
| 2.1.3 | 2024-08-01 | 2.9005552570369195 |
| 2.1.3 | 2024-09-01 | 3.1001910251916667 |
| 2.1.3 | 2024-10-01 | 2.4719530205162474 |
| 2.1.3 | 2024-11-01 | 1.7941093419151792 |
| 2.1.3 | 2024-12-01 | 2.2609344507474245 |
| 2.1.3 | 2025-01-01 |  2.755906982770238 |
| 2.1.3 | 2025-02-01 | 2.2856005389623077 |
| 2.1.3 | 2025-03-01 | 2.9274066426350602 |
| 2.1.3 | 2025-04-01 |  3.619045324843598 |
| 2.1.3 | 2025-05-01 |  4.799173245362298 |
| 2.1.3 | 2025-06-01 |  4.247787402523478 |
| 2.1.3 | 2025-07-01 |  4.212217834801169 |
| 2.1.3 | 2025-08-01 |  4.178649331553162 |
| 2.1.3 | 2025-09-01 |  5.023715353508084 |
| 2.1.3 | 2025-10-01 |  5.356476741761736 |
| 2.1.4 | 2024-06-01 |                 17 |
| 2.1.4 | 2024-07-01 |                 61 |
| 2.1.4 | 2024-08-01 |                 97 |
| 2.1.4 | 2024-09-01 |                 91 |
| 2.1.4 | 2024-10-01 |                 46 |
| 2.1.4 | 2024-11-01 |                 47 |
| 2.1.4 | 2024-12-01 |                 75 |
| 2.1.4 | 2025-01-01 |                 46 |
| 2.1.4 | 2025-02-01 |                 19 |
| 2.1.4 | 2025-03-01 |                 45 |
| 2.1.4 | 2025-04-01 |                 56 |
| 2.1.4 | 2025-05-01 |                505 |
| 2.1.4 | 2025-06-01 |                372 |
| 2.1.4 | 2025-07-01 |                220 |
| 2.1.4 | 2025-08-01 |                327 |
| 2.1.4 | 2025-09-01 |                522 |
| 2.1.4 | 2025-10-01 |                326 |
| 2.2.2 | 2023-09-01 | 0.7721518987341772 |
| 2.2.2 | 2023-10-01 | 0.7230769230769231 |
| 2.2.2 | 2023-11-01 |  0.738544474393531 |
| 2.2.2 | 2023-12-01 | 0.7551020408163265 |
| 2.2.2 | 2024-01-01 |                  0 |
| 2.2.2 | 2024-02-01 |                  0 |
