+-------+------------+---------------------+
| id    | time       | number              |
+-------+------------+---------------------+
| 1.1.1 | 2018-06-01 |                   0 |
| 1.1.1 | 2018-07-01 |                  30 |
| 1.1.1 | 2018-08-01 |                  35 |
| 1.1.1 | 2018-09-01 |                  35 |
| 1.1.1 | 2018-10-01 |                 277 |
| 1.1.1 | 2018-11-01 |                 798 |
| 1.1.1 | 2018-12-01 |                 798 |
| 1.1.1 | 2019-01-01 |                 798 |
| 1.1.1 | 2019-02-01 |                 798 |
| 1.1.1 | 2019-03-01 |                 798 |
| 1.1.1 | 2019-04-01 |                 798 |
| 1.1.1 | 2019-05-01 |                 798 |
| 1.1.1 | 2019-06-01 |                 655 |
| 1.1.1 | 2019-07-01 |                 785 |
| 1.1.1 | 2019-08-01 |                1078 |
| 1.1.1 | 2019-09-01 |                1879 |
| 1.1.1 | 2019-10-01 |                1998 |
| 1.1.1 | 2019-11-01 |                2462 |
| 1.1.1 | 2019-12-01 |                2462 |
| 1.1.1 | 2020-01-01 |                2878 |
| 1.1.1 | 2020-02-01 |                2975 |
| 1.1.1 | 2020-03-01 |                2981 |
| 1.1.1 | 2020-04-01 |                3018 |
| 1.1.1 | 2020-05-01 |                3036 |
| 1.1.1 | 2020-06-01 |                3101 |
| 1.1.1 | 2020-07-01 |                3108 |
| 1.1.1 | 2020-08-01 |                3110 |
| 1.1.1 | 2020-09-01 |                3110 |
| 1.1.1 | 2020-10-01 |                 928 |
| 1.1.1 | 2020-11-01 |                 930 |
| 1.1.1 | 2020-12-01 |                 940 |
| 1.1.1 | 2021-01-01 |                 940 |
| 1.1.1 | 2021-02-01 |                 958 |
| 1.1.1 | 2021-03-01 |                 952 |
| 1.1.1 | 2021-04-01 |                 954 |
| 1.1.1 | 2021-05-01 |                 966 |
| 1.1.1 | 2021-06-01 |                1016 |
| 1.1.1 | 2021-07-01 |                1018 |
| 1.1.1 | 2021-08-01 |                 954 |
| 1.1.1 | 2021-09-01 |                 939 |
| 1.1.1 | 2021-10-01 |                 939 |
| 1.1.1 | 2021-11-01 |                 939 |
| 1.1.1 | 2021-12-01 |                1257 |
| 1.1.1 | 2022-01-01 |                7312 |
| 1.1.1 | 2022-02-01 |                8494 |
| 1.1.1 | 2022-03-01 |                8827 |
| 1.1.1 | 2022-04-01 |                8939 |
| 1.1.1 | 2022-05-01 |                8912 |
| 1.1.1 | 2022-06-01 |                8931 |
| 1.1.1 | 2022-07-01 |                9010 |
| 1.1.1 | 2022-08-01 |                9011 |
| 1.1.1 | 2022-09-01 |                9011 |
| 1.1.1 | 2022-10-01 |                9102 |
| 1.1.1 | 2022-11-01 |                9086 |
| 1.1.1 | 2022-12-01 |                9150 |
| 1.1.1 | 2023-01-01 |                9161 |
| 1.1.1 | 2023-02-01 |                9161 |
| 1.1.1 | 2023-03-01 |                9161 |
| 1.1.1 | 2023-04-01 |                9239 |
| 1.1.1 | 2023-05-01 |                9480 |
| 1.1.1 | 2023-06-01 |                9896 |
| 1.1.1 | 2023-07-01 |                9944 |
| 1.1.1 | 2023-08-01 |                9944 |
| 1.1.1 | 2023-09-01 |                9934 |
| 1.1.1 | 2023-10-01 |                9934 |
| 1.1.1 | 2023-11-01 |                9934 |
| 1.1.1 | 2023-12-01 |                9934 |
| 1.1.1 | 2024-01-01 |                9934 |
| 1.1.1 | 2024-02-01 |                9934 |
| 1.1.1 | 2024-03-01 |                9934 |
| 1.1.1 | 2024-04-01 |                9934 |
| 1.1.1 | 2024-05-01 |                9934 |
| 1.1.1 | 2024-06-01 |                9934 |
| 1.1.1 | 2024-07-01 |                9934 |
| 1.1.1 | 2024-08-01 |                9934 |
| 1.1.1 | 2024-09-01 |                9934 |
| 1.1.1 | 2024-10-01 |                9934 |
| 1.1.1 | 2024-11-01 |                9934 |
| 1.1.1 | 2024-12-01 |                9934 |
| 1.1.1 | 2025-01-01 |                9934 |
| 1.1.1 | 2025-02-01 |                9934 |
| 1.1.1 | 2025-03-01 |                9934 |
| 1.1.1 | 2025-04-01 |                9934 |
| 1.1.1 | 2025-05-01 |                9934 |
| 1.1.2 | 2018-06-01 |                   0 |
| 1.1.2 | 2018-07-01 |                   0 |
| 1.1.2 | 2018-08-01 |                   0 |
| 1.1.2 | 2018-09-01 |                   0 |
| 1.1.2 | 2018-10-01 |                   0 |
| 1.1.2 | 2018-11-01 |                   0 |
| 1.1.2 | 2018-12-01 |                   0 |
| 1.1.2 | 2019-01-01 |                   0 |
| 1.1.2 | 2019-02-01 |                   0 |
| 1.1.2 | 2019-03-01 |                   0 |
| 1.1.2 | 2019-04-01 |                   0 |
| 1.1.2 | 2019-05-01 |                   0 |
| 1.1.2 | 2019-06-01 |                   0 |
| 1.1.2 | 2019-07-01 |                   0 |
| 1.1.2 | 2019-08-01 |                   4 |
| 1.1.2 | 2019-09-01 |                   6 |
| 1.1.2 | 2019-10-01 |                   9 |
| 1.1.2 | 2019-11-01 |                   9 |
| 1.1.2 | 2019-12-01 |                   9 |
| 1.1.2 | 2020-01-01 |                   9 |
| 1.1.2 | 2020-02-01 |                   9 |
| 1.1.2 | 2020-03-01 |                   9 |
| 1.1.2 | 2020-04-01 |                  11 |
| 1.1.2 | 2020-05-01 |                  11 |
| 1.1.2 | 2020-06-01 |                  11 |
| 1.1.2 | 2020-07-01 |                  11 |
| 1.1.2 | 2020-08-01 |                  11 |
| 1.1.2 | 2020-09-01 |                  11 |
